"#set","station","line num","no trait","powered","charged","precise","infused","defending","training","sharpened","decisive","nirnhoned","item name"
"#","","","","sturdy","impenetrable","reinforced","well-fitted","training","infused","prosperous","divines","nirnhoned",""
26,2,1,60630,60315,60350,60385,60420,60455,60490,60525,60560,60595,"Robe of Redistribution"
26,2,2,60635,60320,60355,60390,60425,60460,60495,60530,60565,60600,"Jerkin of Redistribution"
26,2,3,60631,60316,60351,60386,60421,60456,60491,60526,60561,60596,"Shoes of Redistribution"
26,2,4,60632,60317,60352,60387,60422,60457,60492,60527,60562,60597,"Gloves of Redistribution"
26,2,5,60633,60318,60353,60388,60423,60458,60493,60528,60563,60598,"Hat of Redistribution"
26,2,6,60634,60319,60354,60389,60424,60459,60494,60529,60564,60599,"Breeches of Redistribution"
26,2,7,60636,60321,60356,60391,60426,60461,60496,60531,60566,60601,"Epaulets of Redistribution"
26,2,8,60637,60322,60357,60392,60427,60462,60497,60532,60567,60602,"Sash of Redistribution"
26,2,9,60638,60323,60358,60393,60428,60463,60498,60533,60568,60603,"Jack of Redistribution"
26,2,10,60639,60324,60359,60394,60429,60464,60499,60534,60569,60604,"Boots of Redistribution"
26,2,11,60640,60325,60360,60395,60430,60465,60500,60535,60570,60605,"Bracers of Redistribution"
26,2,12,60641,60326,60361,60396,60431,60466,60501,60536,60571,60606,"Helmet of Redistribution"
26,2,13,60642,60327,60362,60397,60432,60467,60502,60537,60572,60607,"Guards of Redistribution"
26,2,14,60643,60328,60363,60398,60433,60468,60503,60538,60573,60608,"Arm Cops of Redistribution"
26,2,15,60644,60329,60364,60399,60434,60469,60504,60539,60574,60609,"Belt of Redistribution"
26,1,1,60611,60296,60331,60366,60401,60436,60471,60506,60541,60576,"axe of Redistribution"
26,1,2,60612,60297,60332,60367,60402,60437,60472,60507,60542,60577,"mace of Redistribution"
26,1,3,60613,60298,60333,60368,60403,60438,60473,60508,60543,60578,"Sword of Redistribution"
26,1,4,60614,60299,60334,60369,60404,60439,60474,60509,60544,60579,"Battle Axe of Redistribution"
26,1,5,60616,60301,60336,60371,60406,60441,60476,60511,60546,60581,"Greatsword of Redistribution"
26,1,6,60615,60300,60335,60370,60405,60440,60475,60510,60545,60580,"Maul of Redistribution"
26,1,7,60617,60302,60337,60372,60407,60442,60477,60512,60547,60582,"Dagger of Redistribution"
26,1,8,60623,60308,60343,60378,60413,60448,60483,60518,60553,60588,"Cuirass of Redistribution"
26,1,9,60624,60309,60344,60379,60414,60449,60484,60519,60554,60589,"Sabatons of Redistribution"
26,1,10,60625,60310,60345,60380,60415,60450,60485,60520,60555,60590,"Gauntlets of Redistribution"
26,1,11,60626,60311,60346,60381,60416,60451,60486,60521,60556,60591,"Helm of Redistribution"
26,1,12,60627,60312,60347,60382,60417,60452,60487,60522,60557,60592,"Greaves of Redistribution"
26,1,13,60628,60313,60348,60383,60418,60453,60488,60523,60558,60593,"Pauldron of Redistribution"
26,1,14,60629,60314,60349,60384,60419,60454,60489,60524,60559,60594,"Girdle of Redistribution"
26,6,1,60618,60303,60338,60373,60408,60443,60478,60513,60548,60583,"Bow of Redistribution"
26,6,2,60619,60304,60339,60374,60409,60444,60479,60514,60549,60584,"Inferno Staff of Redistribution"
